;;;;;;;;;;;;;;;;;;;
Encuesta;Periodo;Indicadores;Nacional;Área;;Sexo;;;;;;;;;;;;;
;;;Total;Urbana;Rural;Hombre;Mujer;;;;;;;;;;;;
ENEMDU;dic-12;Desempleo Nuevo;109.962;83.485;26.478;51.813;58.149;;;;;;;;;;;;
ENEMDU;dic-12;Población Económicamente Inactiva;4.162.884;2.818.194;1.344.691;1.213.266;2.949.619;;;;;;;;;;;;
ENEMDU;jun-13;Población Total;14.787.691;9.815.388;4.972.303;7.291.648;7.496.042;;;;;;;;;;;;
ENEMDU;jun-13;Población menor de 15 años;3.794.152;2.421.936;1.372.216;1.954.093;1.840.059;;;;;;;;;;;;
ENEMDU;jun-13;Población en Edad de Trabajar (PET);10.993.539;7.393.452;3.600.087;5.337.555;5.655.984;;;;;;;;;;;;
ENEMDU;jun-13;Población Económicamente Activa;6.999.745;4.607.495;2.392.250;4.159.963;2.839.783;;;;;;;;;;;;
ENEMDU;jun-13;Empleo;6.725.795;4.382.389;2.343.405;4.011.516;2.714.278;;;;;;;;;;;;
ENEMDU;jun-13;Empleo Adecuado/Pleno;2.998.481;2.406.652;591.829;2.019.536;978.945;;;;;;;;;;;;
ENEMDU;jun-13;Subempleo;818.126;528.550;289.576;489.132;328.994;;;;;;;;;;;;
ENEMDU;jun-13;Subempleo por insuficiencia de tiempo de trabajo;670.946;441.739;229.207;377.907;293.038;;;;;;;;;;;;
ENEMDU;jun-13;Subempleo por insuficiencia de ingresos;147.180;86.811;60.369;111.224;35.956;;;;;;;;;;;;
ENEMDU;jun-13;Empleo no remunerado;669.102;227.170;441.931;209.484;459.617;;;;;;;;;;;;
ENEMDU;jun-13;Otro Empleo no pleno;2.145.528;1.130.495;1.015.033;1.236.886;908.642;;;;;;;;;;;;
ENEMDU;jun-13;Empleo no clasificado;94.558;89.522;5.036;56.478;38.080;;;;;;;;;;;;
ENEMDU;jun-13;Desempleo;273.951;225.105;48.845;148.446;125.504;;;;;;;;;;;;
ENEMDU;jun-13;Desempleo Abierto;218.894;188.644;30.250;121.344;97.550;;;;;;;;;;;;
ENEMDU;jun-13;Desempleo Oculto;55.057;36.462;18.595;27.103;27.954;;;;;;;;;;;;
ENEMDU;jun-13;Desempleo Cesante;185.092;155.945;29.147;107.885;77.206;;;;;;;;;;;;
ENEMDU;jun-13;Desempleo Nuevo;88.859;69.161;19.698;40.561;48.298;;;;;;;;;;;;
ENEMDU;jun-13;Población Económicamente Inactiva;3.993.794;2.785.957;1.207.836;1.177.593;2.816.201;;;;;;;;;;;;
ENEMDU;dic-13;Población Total;15.872.755;10.721.616;5.151.139;7.886.038;7.986.717;;;;;;;;;;;;
ENEMDU;dic-13;Población menor de 15 años;4.672.384;3.003.893;1.668.492;2.424.053;2.248.332;;;;;;;;;;;;
ENEMDU;dic-13;Población en Edad de Trabajar (PET);11.200.371;7.717.723;3.482.647;5.461.985;5.738.386;;;;;;;;;;;;
ENEMDU;dic-13;Población Económicamente Activa;6.952.986;4.710.148;2.242.838;4.217.043;2.735.942;;;;;;;;;;;;
ENEMDU;dic-13;Empleo;6.664.241;4.481.130;2.183.111;4.075.323;2.588.918;;;;;;;;;;;;
ENEMDU;dic-13;Empleo Adecuado/Pleno;3.328.048;2.680.988;647.060;2.257.012;1.071.036;;;;;;;;;;;;
